index	Region	Practice	Efficacy	Year of adoption	ACDNB	Age adoption pays off	Last profitable year	Infection probability threshold
napaDP25y3	Napa	Delayed Pruning	25.0	3.0	$46,720 	3	18	0.0
napaDP25y5	Napa	Delayed Pruning	25.0	5.0	$37,880 	5	17	0.0
napaDP25y10	Napa	Delayed Pruning	25.0	10.0	$16,159 	10	16	0.0
napaDP50y3	Napa	Delayed Pruning	50.0	3.0	$114,680 	3	25	0.0
napaDP50y5	Napa	Delayed Pruning	50.0	5.0	$96,944 	5	24	0.0
napaDP50y10	Napa	Delayed Pruning	50.0	10.0	$44,205 	10	19	0.0
napaDP75y3	Napa	Delayed Pruning	75.0	3.0	$155,303 	3	25	0.0
napaDP75y5	Napa	Delayed Pruning	75.0	5.0	$147,388 	5	25	0.0
napaDP75y10	Napa	Delayed Pruning	75.0	10.0	$89,863 	10	25	0.0
napaDBP25y3	Napa	Double Pruning	25.0	3.0	$39,311 	10	18	0.159
napaDBP25y5	Napa	Double Pruning	25.0	5.0	$31,334 	9	17	0.173
napaDBP25y10	Napa	Double Pruning	25.0	10.0	$11,557 	11	15	0.285
napaDBP50y3	Napa	Double Pruning	50.0	3.0	$107,271 	9	25	0.065
napaDBP50y5	Napa	Double Pruning	50.0	5.0	$90,397 	8	24	0.068
napaDBP50y10	Napa	Double Pruning	50.0	10.0	$39,603 	10	19	0.104
napaDBP75y3	Napa	Double Pruning	75.0	3.0	$147,894 	8	25	0.048
napaDBP75y5	Napa	Double Pruning	75.0	5.0	$140,841 	8	25	0.044
napaDBP75y10	Napa	Double Pruning	75.0	10.0	$85,261 	10	25	0.051
napaHP25y3	Napa	Hand painted Topsin	25.0	3.0	$45,614 	6	18	0.024
napaHP25y5	Napa	Hand painted Topsin	25.0	5.0	$36,903 	6	17	0.026
napaHP25y10	Napa	Hand painted Topsin	25.0	10.0	$15,472 	10	15	0.043
napaHP50y3	Napa	Hand painted Topsin	50.0	3.0	$113,574 	5	25	0.010
napaHP50y5	Napa	Hand painted Topsin	50.0	5.0	$95,967 	5	24	0.010
napaHP50y10	Napa	Hand painted Topsin	50.0	10.0	$43,517 	10	19	0.016
napaHP75y3	Napa	Hand painted Topsin	75.0	3.0	$154,197 	4	25	0.007
napaHP75y5	Napa	Hand painted Topsin	75.0	5.0	$146,410 	5	25	0.007
napaHP75y10	Napa	Hand painted Topsin	75.0	10.0	$89,175 	10	25	0.008
nsjDP25y3	Northern San Joaquin	Delayed Pruning	25.0	3.0	$12,993 	3	15	0.0
nsjDP25y5	Northern San Joaquin	Delayed Pruning	25.0	5.0	$10,534 	5	15	0.0
nsjDP25y10	Northern San Joaquin	Delayed Pruning	25.0	10.0	$4,494 	10	13	0.0
nsjDP50y3	Northern San Joaquin	Delayed Pruning	50.0	3.0	$31,892 	3	22	0.0
nsjDP50y5	Northern San Joaquin	Delayed Pruning	50.0	5.0	$26,960 	5	20	0.0
nsjDP50y10	Northern San Joaquin	Delayed Pruning	50.0	10.0	$12,293 	10	15	0.0
nsjDP75y3	Northern San Joaquin	Delayed Pruning	75.0	3.0	$43,189 	3	25	0.0
nsjDP75y5	Northern San Joaquin	Delayed Pruning	75.0	5.0	$40,988 	5	25	0.0
